rank,word,count,doc_count
1,figure,8621,6933
2,line,2521,1647
3,length,2240,1949
4,diagram,2220,2079
5,image1,2162,2161
6,find,2032,1896
7,two,1939,1469
8,image,1810,1212
9,abc,1634,1288
10,structure,1514,829
11,axis,1448,747
12,side,1445,1054
13,state,1445,1053
14,value,1298,1205
15,intersects,1270,919
16,read,1254,1249
17,square,1226,825
18,respectively,1202,1122
19,abcd,1167,1003
20,answer,1163,1146
21,certain,1147,1035
22,time,1145,828
23,circuit,1127,958
24,number,1100,928
25,transition,1057,725
26,field,1012,449
27,small,977,550
28,mass,959,654
29,measure,941,932
30,right,903,734
31,voltage,901,569
32,region,894,704
33,graph,892,651
34,circle,869,593
35,force,863,545
36,magnetic,834,292
37,system,822,671
38,direction,820,615
39,segment,812,517
40,magnitude,805,548
41,angle,804,659
42,function,801,544
43,along,781,687
44,known,780,759
45,horizontal,775,522
46,triangle,762,569
47,arrows,748,745
48,three,739,598
49,velocity,737,473
50,place,713,558
51,plane,710,444
52,radius,708,563
53,rectangle,705,505
54,current,703,507
55,distance,701,553
56,speed,682,462
57,expression,675,662
58,total,670,633
59,bonds,666,334
60,water,652,338
61,china,639,510
62,midpoint,629,548
63,ball,623,187
64,resistance,601,428
65,four,594,498
66,calculate,590,556
67,uniform,578,443
68,during,576,460
69,connected,572,480
70,perpendicular,571,492
71,placed,571,489
72,question,553,549
73,power,551,351
74,constant,550,449
75,sides,547,493
76,surface,547,363
77,many,537,519
78,electric,532,242
79,will,532,482
80,coordinate,522,437
81,intersect,514,484
82,acceleration,506,376
83,quadrilateral,504,416
84,consider,498,496
85,population,495,288
86,light,494,270
87,numbers,488,287
88,schematic,485,475
89,block,484,162
90,maximum,484,415
91,smiles,478,478
92,moving,477,421
93,output,477,388
94,ground,476,288
95,center,472,380
96,temperature,472,303
97,but,470,469
98,located,469,439
99,type,459,412
100,lines,453,370
101,object,453,168
102,connect,450,382
103,determine,449,353
104,rod,449,137
105,table,442,277
106,first,437,366
107,single,437,433
108,change,433,390
109,ratio,433,394
110,different,429,387
111,coordinates,427,369
112,map,426,409
113,equal,425,380
114,long,425,311
115,end,422,287
116,friction,420,256
117,squares,419,289
118,height,416,328
119,distribution,409,354
120,coil,408,134
121,ignoring,403,403
122,charge,401,257
123,energy,400,276
124,food,398,369
125,motion,392,289
126,parabola,391,195
127,diameter,385,348
128,process,382,318
129,perimeter,378,311
130,drawn,376,327
131,present,376,374
132,passes,372,354
133,degree,369,365
134,river,367,214
135,circular,362,220
136,large,360,297
137,components,358,356
138,double,358,352
139,including,357,356
140,electron,356,161
141,hydrogen,354,348
142,vertical,353,284
143,rest,352,307
144,left,351,296
145,air,350,242
146,minimum,345,323
147,involving,340,340
148,let,340,302
149,excluding,339,339
150,within,334,325
151,disregard,333,333
152,main,333,322
153,triple,329,329
154,linear,328,262
155,parallel,328,284
156,city,326,228
157,car,325,75
158,positive,325,257
159,rhombus,325,252
160,solution,325,253
161,changes,324,281
162,used,323,309
163,paper,318,213
164,shaded,318,290
165,cartesian,316,313
166,particle,315,117
167,straight,309,257
168,bisects,307,266
169,gas,307,121
170,pressure,305,193
171,circles,303,172
172,should,298,280
173,please,297,289
174,fixed,292,256
175,ideal,292,261
176,set,291,259
177,position,289,233
178,proportion,288,221
179,moves,287,246
180,sum,287,225
181,unit,285,250
182,coefficient,280,227
183,high,278,203
184,inside,277,233
185,average,276,219
