rank,word,count,doc_count
1,length,2240,1949
2,structure,1514,829
3,axis,1448,747
4,intersects,1270,919
5,square,1226,825
6,abcd,1167,1003
7,circuit,1127,958
8,transition,1057,725
9,field,1012,449
10,mass,959,654
11,voltage,901,569
12,region,894,704
13,graph,892,651
14,circle,869,593
15,force,863,545
16,magnetic,834,292
17,system,822,671
18,direction,820,615
19,segment,812,517
20,magnitude,805,548
21,angle,804,659
22,function,801,544
23,horizontal,775,522
24,triangle,762,569
25,velocity,737,473
26,plane,710,444
27,radius,708,563
28,rectangle,705,505
29,current,703,507
30,distance,701,553
31,speed,682,462
32,expression,675,662
33,bonds,666,334
34,water,652,338
35,china,639,510
36,midpoint,629,548
37,ball,623,187
38,resistance,601,428
39,uniform,578,443
40,connected,572,480
41,perpendicular,571,492
42,power,551,351
43,constant,550,449
44,sides,547,493
45,surface,547,363
46,electric,532,242
47,coordinate,522,437
48,intersect,514,484
49,acceleration,506,376
50,quadrilateral,504,416
51,population,495,288
52,light,494,270
53,numbers,488,287
54,schematic,485,475
55,block,484,162
56,maximum,484,415
57,smiles,478,478
58,moving,477,421
59,output,477,388
60,ground,476,288
61,center,472,380
62,temperature,472,303
63,lines,453,370
64,connect,450,382
65,rod,449,137
66,table,442,277
67,ratio,433,394
68,coordinates,427,369
69,map,426,409
70,equal,425,380
71,friction,420,256
72,squares,419,289
73,height,416,328
74,distribution,409,354
75,coil,408,134
76,charge,401,257
77,energy,400,276
78,food,398,369
79,motion,392,289
80,parabola,391,195
81,diameter,385,348
82,process,382,318
83,perimeter,378,311
84,drawn,376,327
85,passes,372,354
86,river,367,214
87,circular,362,220
88,components,358,356
89,electron,356,161
90,hydrogen,354,348
91,vertical,353,284
92,air,350,242
93,minimum,345,323
94,linear,328,262
95,parallel,328,284
96,city,326,228
97,car,325,75
98,positive,325,257
99,rhombus,325,252
100,changes,324,281
101,paper,318,213
102,shaded,318,290
103,cartesian,316,313
104,particle,315,117
105,straight,309,257
106,bisects,307,266
107,gas,307,121
108,pressure,305,193
109,circles,303,172
110,fixed,292,256
111,ideal,292,261
112,proportion,288,221
113,moves,287,246
114,sum,287,225
115,unit,285,250
116,coefficient,280,227
117,average,276,219
118,metal,275,117
119,inclined,270,111
120,day,269,188
121,land,268,189
122,kinetic,260,192
123,acb,255,247
124,earth,253,119
125,gravitational,251,212
126,track,251,66
127,period,250,209
128,spring,250,101
129,vertices,248,217
130,rate,247,183
131,cylinder,246,71
132,wire,246,107
133,bisector,245,207
134,initial,245,213
135,second,245,203
136,base,243,183
137,tangent,242,209
138,country,238,175
139,equilateral,238,205
140,web,238,230
141,represents,234,192
142,triangles,234,167
143,bac,226,213
144,half,226,157
145,form,225,212
146,move,225,195
147,moment,224,190
148,flow,223,206
149,induction,223,182
150,vertex,222,191
151,aob,220,170
152,potential,218,134
153,inverse,216,162
154,midpoints,216,207
155,chart,212,172
156,diagonal,210,195
157,rectangular,207,167
158,rope,207,89
159,edge,205,148
160,folded,204,197
161,intersecting,204,187
162,ring,204,66
163,curve,203,154
164,arc,198,150
165,equation,198,186
166,development,197,168
167,load,196,141
168,smooth,196,169
169,precipitation,195,151
170,diagonals,193,188
171,cell,192,125
172,wooden,192,68
173,uniformly,191,156
174,volume,191,130
175,switch,189,131
176,cycle,188,154
177,cube,187,89
178,belt,186,65
