rank,word,count,doc_count
1,the,75763,14200
2,and,20053,9399
3,what,9215,8674
4,figure,8621,6933
5,shown,8123,7581
6,point,7345,3368
7,with,5291,3748
8,are,4699,3534
9,that,3320,2718
10,from,2573,1924
11,line,2521,1647
12,length,2240,1949
13,diagram,2220,2079
14,image1,2162,2161
15,this,2119,1731
16,for,2034,1707
17,find,2032,1896
18,which,1992,1895
19,area,1964,1537
20,two,1939,1469
21,image,1810,1212
22,points,1754,1387
23,abc,1634,1288
24,when,1599,1320
25,structure,1514,829
26,has,1476,1284
27,axis,1448,747
28,side,1445,1054
29,state,1445,1053
30,between,1435,1073
31,value,1298,1205
32,intersects,1270,919
33,read,1254,1249
34,square,1226,825
35,respectively,1202,1122
36,each,1185,913
37,abcd,1167,1003
38,answer,1163,1146
39,certain,1147,1035
40,time,1145,828
41,circuit,1127,958
42,then,1121,1083
43,how,1109,1067
44,number,1100,928
45,through,1083,940
46,given,1072,1005
47,transition,1057,725
48,one,1035,889
49,field,1012,449
50,below,1008,988
51,small,977,550
52,its,971,804
53,can,959,786
54,mass,959,654
55,measure,941,932
56,does,940,914
57,all,936,874
58,following,905,833
59,right,903,734
60,voltage,901,569
61,after,895,749
62,region,894,704
63,graph,892,651
64,where,874,811
65,circle,869,593
66,force,863,545
67,according,837,829
68,magnetic,834,292
69,system,822,671
70,direction,820,615
71,segment,812,517
72,magnitude,805,548
73,angle,804,659
74,function,801,544
75,same,797,678
76,along,781,687
77,known,780,759
78,horizontal,775,522
79,triangle,762,569
80,arrows,748,745
81,have,741,708
82,three,739,598
83,velocity,737,473
84,place,713,558
85,plane,710,444
86,radius,708,563
87,rectangle,705,505
88,current,703,507
89,distance,701,553
90,there,690,602
91,speed,682,462
92,expression,675,662
93,total,670,633
94,bonds,666,334
95,water,652,338
96,china,639,510
97,midpoint,629,548
98,shows,629,614
99,ball,623,187
100,resistance,601,428
101,into,597,532
102,four,594,498
103,calculate,590,556
104,uniform,578,443
105,during,576,460
106,connected,572,480
107,perpendicular,571,492
108,placed,571,489
109,not,557,500
110,question,553,549
111,above,552,511
112,power,551,351
113,constant,550,449
114,sides,547,493
115,surface,547,363
116,many,537,519
117,electric,532,242
118,will,532,482
119,coordinate,522,437
120,intersect,514,484
121,acceleration,506,376
122,quadrilateral,504,416
123,consider,498,496
124,population,495,288
125,light,494,270
126,numbers,488,287
127,schematic,485,475
128,block,484,162
129,maximum,484,415
130,smiles,478,478
131,such,478,425
132,moving,477,421
133,output,477,388
134,ground,476,288
135,center,472,380
136,temperature,472,303
137,was,472,332
138,but,470,469
139,located,469,439
140,type,459,412
141,lines,453,370
142,object,453,168
143,connect,450,382
144,determine,449,353
145,rod,449,137
146,table,442,277
147,first,437,366
148,single,437,433
149,change,433,390
150,ratio,433,394
151,different,429,387
152,coordinates,427,369
153,map,426,409
154,equal,425,380
155,long,425,311
156,end,422,287
157,other,422,390
158,friction,420,256
159,squares,419,289
160,height,416,328
161,distribution,409,354
162,coil,408,134
163,ignoring,403,403
164,charge,401,257
165,energy,400,276
166,food,398,369
167,both,395,344
168,motion,392,289
169,parabola,391,195
170,diameter,385,348
171,process,382,318
172,perimeter,378,311
173,drawn,376,327
174,present,376,374
175,most,374,367
176,passes,372,354
177,degree,369,365
178,river,367,214
179,circular,362,220
180,large,360,297
181,those,360,359
182,components,358,356
183,double,358,352
184,including,357,356
185,electron,356,161
186,hydrogen,354,348
187,vertical,353,284
188,rest,352,307
189,left,351,296
190,air,350,242
191,minimum,345,323
192,involving,340,340
193,let,340,302
194,excluding,339,339
195,within,334,325
196,disregard,333,333
197,main,333,322
198,triple,329,329
199,linear,328,262
200,parallel,328,284
201,city,326,228
202,car,325,75
203,positive,325,257
204,rhombus,325,252
205,solution,325,253
206,changes,324,281
207,based,323,317
208,used,323,309
209,paper,318,213
210,shaded,318,290
211,cartesian,316,313
212,particle,315,117
213,their,312,287
214,straight,309,257
