rank,word,count,doc_count
1,length,2240,1949
2,structure,1514,829
3,axis,1448,747
4,intersects,1270,919
5,square,1226,825
6,abcd,1167,1003
7,circuit,1127,958
8,transition,1057,725
9,field,1012,449
10,mass,959,654
11,voltage,901,569
12,region,894,704
13,graph,892,651
14,circle,869,593
15,force,863,545
16,magnetic,834,292
17,system,822,671
18,direction,820,615
19,segment,812,517
20,magnitude,805,548
21,angle,804,659
22,function,801,544
23,horizontal,775,522
24,triangle,762,569
25,velocity,737,473
26,plane,710,444
27,radius,708,563
28,rectangle,705,505
29,current,703,507
30,distance,701,553
31,speed,682,462
32,expression,675,662
33,bonds,666,334
34,water,652,338
35,china,639,510
36,midpoint,629,548
37,ball,623,187
38,resistance,601,428
39,uniform,578,443
40,connected,572,480
41,perpendicular,571,492
42,power,551,351
43,constant,550,449
44,sides,547,493
45,surface,547,363
46,electric,532,242
47,coordinate,522,437
48,intersect,514,484
49,acceleration,506,376
50,quadrilateral,504,416
51,population,495,288
52,light,494,270
53,numbers,488,287
54,schematic,485,475
55,block,484,162
56,maximum,484,415
57,smiles,478,478
58,moving,477,421
59,output,477,388
60,ground,476,288
61,center,472,380
62,temperature,472,303
63,but,470,469
64,lines,453,370
65,connect,450,382
66,rod,449,137
67,table,442,277
68,ratio,433,394
69,coordinates,427,369
70,map,426,409
71,equal,425,380
72,friction,420,256
73,squares,419,289
74,height,416,328
75,distribution,409,354
76,coil,408,134
77,charge,401,257
78,energy,400,276
79,food,398,369
80,motion,392,289
81,parabola,391,195
82,diameter,385,348
83,process,382,318
84,perimeter,378,311
85,drawn,376,327
86,passes,372,354
87,river,367,214
88,circular,362,220
89,components,358,356
90,electron,356,161
91,hydrogen,354,348
92,vertical,353,284
93,air,350,242
94,minimum,345,323
95,linear,328,262
96,parallel,328,284
97,city,326,228
98,car,325,75
99,positive,325,257
100,rhombus,325,252
101,changes,324,281
102,paper,318,213
103,shaded,318,290
104,cartesian,316,313
105,particle,315,117
106,straight,309,257
107,bisects,307,266
108,gas,307,121
109,pressure,305,193
110,circles,303,172
111,fixed,292,256
112,ideal,292,261
113,proportion,288,221
114,moves,287,246
115,sum,287,225
116,unit,285,250
117,coefficient,280,227
118,average,276,219
119,metal,275,117
120,inclined,270,111
121,day,269,188
122,land,268,189
123,kinetic,260,192
124,acb,255,247
125,earth,253,119
126,gravitational,251,212
127,track,251,66
128,period,250,209
129,spring,250,101
130,vertices,248,217
131,rate,247,183
132,cylinder,246,71
133,wire,246,107
134,bisector,245,207
135,initial,245,213
136,second,245,203
137,base,243,183
138,tangent,242,209
139,country,238,175
140,equilateral,238,205
141,web,238,230
142,represents,234,192
143,triangles,234,167
144,some,232,219
145,use,231,211
146,out,229,208
147,bac,226,213
148,half,226,157
149,form,225,212
150,move,225,195
151,moment,224,190
152,flow,223,206
153,induction,223,182
154,under,222,208
155,vertex,222,191
156,values,221,207
157,aob,220,170
158,level,220,187
159,range,219,212
160,potential,218,134
161,inverse,216,162
162,midpoints,216,207
163,common,213,212
164,chart,212,172
165,questions,211,210
166,diagonal,210,195
167,negligible,210,198
168,closed,208,182
169,down,208,177
170,likely,208,207
171,they,208,192
172,rectangular,207,167
173,rope,207,89
174,starts,207,183
175,she,206,131
176,edge,205,148
177,over,205,182
178,folded,204,197
179,intersecting,204,187
180,ring,204,66
181,curve,203,154
182,terms,203,189
183,exactly,202,190
184,off,202,169
185,data,199,174
186,arc,198,150
187,equation,198,186
188,made,198,182
189,bottom,197,144
190,development,197,168
191,load,196,141
192,smooth,196,169
193,precipitation,195,151
194,represent,194,180
195,taken,194,188
196,diagonals,193,188
197,directly,193,190
198,cell,192,125
199,may,192,176
200,wooden,192,68
201,just,191,174
202,stage,191,173
203,uniformly,191,156
204,volume,191,130
205,switch,189,131
206,cycle,188,154
207,difference,188,169
208,order,188,173
209,cube,187,89
210,reaches,187,167
211,write,187,173
212,belt,186,65
213,gravity,186,167
214,across,185,156
215,choose,185,184
216,inequality,185,164
217,meters,184,125
218,due,183,168
219,regions,183,151
220,amount,182,152
221,frequency,182,136
222,reason,182,182
223,section,182,154
224,times,182,165
225,array,181,94
226,reaction,181,129
227,resistor,180,138
228,altitude,179,155
229,density,178,146
230,extension,177,172
231,per,177,144
232,inscribed,176,161
233,horizontally,175,156
234,factor,174,163
235,supply,173,138
236,applied,172,153
237,degrees,172,169
238,signal,172,127
239,slope,171,90
240,natural,170,153
241,plate,169,79
242,turns,168,130
243,identical,167,160
244,lies,166,149
245,passing,166,155
246,string,166,76
247,zero,166,153
248,phase,165,126
249,capacitor,164,105
250,falls,164,153
251,grid,164,112
252,group,164,84
253,material,164,135
254,rails,164,38
255,board,163,55
256,lengths,163,149
257,information,162,160
258,beijing,161,111
259,loop,161,78
260,arrow,160,150
261,picture,160,142
262,chord,159,144
263,jia,159,126
264,wave,159,83
265,charged,158,103
266,cross,158,143
267,wind,158,85
268,assuming,157,148
269,location,157,133
270,parallelogram,157,137
271,vertically,157,143
272,cells,156,99
273,mainly,156,151
274,complete,155,147
275,relative,155,129
276,characteristics,154,150
277,plates,154,60
278,width,154,129
279,plant,153,119
280,strength,153,122
281,white,153,103
282,big,152,127
283,box,152,55
284,formed,152,144
285,segments,152,132
286,them,152,146
287,boc,151,127
288,isosceles,151,143
289,latitude,151,122
290,organism,151,147
291,regular,151,119
292,take,151,144
293,growth,150,114
294,origin,150,130
295,world,150,135
296,year,150,128
297,intensity,149,127
298,collision,147,62
299,foot,146,126
300,aoc,145,126
